iter	Passed	Remaining
455	939	1121
456	941	1118
457	943	1116
458	946	1115
459	950	1115
460	952	1113
461	954	1111
462	955	1108
463	957	1106
464	959	1104
465	961	1102
466	963	1099
467	964	1096
468	966	1093
469	967	1091
470	969	1088
471	971	1086
472	973	1084
473	975	1082
474	979	1082
475	980	1079
476	983	1077
477	985	1075
478	986	1073
479	988	1070
480	989	1067
481	990	1064
482	991	1061
483	993	1059
484	995	1056
485	996	1054
486	998	1052
487	1000	1049
488	1001	1047
489	1003	1044
490	1007	1044
491	1009	1042
492	1011	1040
493	1013	1038
494	1015	1035
495	1017	1033
496	1018	1031
497	1020	1028
498	1022	1026
499	1023	1023
500	1025	1021
501	1027	1019
502	1029	1017
503	1031	1015
504	1035	1014
505	1036	1012
506	1038	1010
507	1041	1008
508	1042	1005
509	1044	1003
510	1046	1001
511	1048	999
512	1051	997
513	1052	995
514	1053	992
515	1056	990
516	1058	988
517	1060	986
518	1062	984
519	1064	982
520	1066	980
521	1068	978
522	1071	977
523	1074	975
524	1076	974
525	1078	971
526	1080	969
527	1082	967
528	1084	965
529	1086	963
530	1088	961
531	1091	959
532	1092	957
533	1094	954
534	1095	952
535	1097	950
536	1099	948
537	1101	946
538	1104	944
539	1106	942
540	1107	939
541	1109	937
542	1111	935
543	1112	932
544	1114	930
545	1117	928
546	1120	927
547	1122	925
548	1123	923
549	1125	920
550	1127	919
551	1129	917
552	1132	915
553	1134	913
554	1136	911
555	1138	909
556	1140	906
557	1141	904
558	1143	902
559	1145	900
560	1147	898
561	1150	896
562	1151	894
563	1153	892
564	1156	890
565	1159	889
566	1161	887
567	1163	884
568	1165	882
569	1166	880
570	1168	877
571	1169	875
572	1171	872
573	1172	870
574	1174	868
575	1175	865
576	1177	863
577	1179	860
578	1180	858
579	1182	856
580	1183	853
581	1185	851
582	1187	849
583	1189	847
584	1191	845
585	1194	843
586	1195	841
587	1197	838
588	1198	836
589	1200	834
590	1202	832
591	1204	830
592	1206	828
593	1209	826
594	1213	826
595	1216	824
596	1218	822
597	1220	820
598	1222	818
599	1224	816
600	1226	814
601	1227	811
602	1229	809
603	1231	807
604	1233	805
605	1235	803
606	1237	801
607	1239	799
608	1244	799
609	1247	797
610	1249	795
611	1251	793
612	1253	791
613	1255	789
614	1257	787
615	1258	784
616	1260	782
617	1262	780
618	1263	777
619	1265	775
620	1267	773
621	1269	771
622	1271	769
623	1272	766
624	1273	764
625	1275	761
626	1277	759
627	1278	757
628	1279	754
629	1281	752
630	1282	749
631	1284	747
632	1285	745
633	1286	742
634	1287	740
635	1290	738
636	1291	736
637	1294	734
638	1296	732
639	1298	730
640	1300	728
641	1302	726
642	1304	724
643	1306	722
644	1308	720
645	1310	718
646	1312	716
647	1314	713
648	1316	711
649	1317	709
650	1319	707
651	1321	705
652	1323	703
653	1325	701
654	1327	699
655	1329	697
656	1330	694
657	1332	692
658	1334	690
659	1336	688
660	1337	685
661	1339	684
662	1342	682
663	1343	679
664	1344	677
665	1345	674
666	1347	672
667	1348	670
668	1350	668
669	1352	666
670	1354	664
671	1357	662
672	1358	660
673	1360	658
674	1362	656
675	1364	653
676	1365	651
677	1368	649
678	1370	647
679	1372	645
680	1374	643
681	1376	641
682	1377	639
683	1379	637
684	1381	635
685	1383	633
686	1388	632
687	1390	630
688	1392	628
689	1394	626
690	1396	624
691	1398	622
692	1399	620
693	1401	617
694	1402	615
695	1404	613
696	1406	611
697	1408	609
698	1410	607
699	1414	606
700	1416	604
701	1418	601
702	1419	599
703	1421	597
704	1422	595
705	1425	593
706	1427	591
707	1428	589
708	1429	586
709	1430	584
710	1431	582
711	1433	579
712	1435	577
713	1436	575
714	1438	573
715	1440	571
716	1442	569
717	1446	568
718	1448	566
719	1450	564
720	1452	562
721	1453	559
722	1455	557
723	1457	555
724	1459	553
725	1461	551
726	1463	549
727	1465	547
728	1467	545
729	1469	543
730	1471	541
731	1476	540
732	1478	538
733	1480	536
734	1482	534
735	1484	532
736	1486	530
737	1488	528
738	1490	526
739	1492	524
740	1494	522
741	1496	520
742	1498	518
743	1500	516
744	1501	513
745	1503	511
746	1505	509
747	1507	507
748	1509	505
749	1510	503
750	1512	501
751	1514	499
752	1516	497
753	1518	495
754	1520	493
755	1522	491
756	1524	489
757	1526	487
758	1528	485
759	1530	483
760	1533	481
761	1535	479
762	1537	477
763	1539	475
764	1541	473
765	1542	471
766	1544	469
767	1546	467
768	1548	465
769	1550	463
770	1553	461
771	1554	459
772	1556	457
773	1558	454
774	1559	452
775	1561	450
776	1563	448
777	1565	446
778	1567	444
779	1569	442
780	1571	440
781	1573	438
782	1575	436
783	1576	434
784	1578	432
785	1579	430
786	1581	428
787	1583	426
788	1586	424
789	1589	422
790	1591	420
791	1593	418
792	1595	416
793	1597	414
794	1599	412
795	1601	410
796	1603	408
797	1605	406
798	1607	404
799	1609	402
800	1611	400
801	1613	398
802	1614	396
803	1616	394
804	1618	391
805	1620	389
806	1622	387
807	1626	386
808	1628	384
809	1629	382
810	1631	380
811	1633	378
812	1634	375
813	1635	373
814	1637	371
815	1638	369
816	1639	367
817	1641	365
818	1643	363
819	1644	361
820	1646	358
821	1647	356
822	1648	354
823	1649	352
824	1651	350
825	1654	348
826	1656	346
827	1658	344
828	1660	342
829	1662	340
830	1664	338
831	1666	336
832	1668	334
833	1670	332
834	1672	330
835	1674	328
836	1679	326
837	1681	324
838	1683	323
839	1685	321
840	1687	319
841	1689	317
842	1691	315
843	1692	312
844	1694	310
845	1696	308
846	1698	306
847	1700	304
848	1702	302
849	1704	300
850	1706	298
851	1709	297
852	1711	295
853	1713	292
854	1715	290
855	1718	289
856	1722	287
857	1724	285
858	1725	283
859	1727	281
860	1729	279
861	1730	277
862	1732	275
863	1735	273
864	1739	271
865	1741	269
866	1743	267
867	1744	265
868	1746	263
869	1747	261
870	1749	259
871	1751	257
872	1752	254
873	1754	252
874	1755	250
875	1756	248
876	1758	246
877	1760	244
878	1762	242
879	1765	240
880	1769	238
881	1770	236
882	1772	234
883	1773	232
884	1775	230
885	1777	228
886	1779	226
887	1781	224
888	1783	222
889	1785	220
890	1787	218
891	1789	216
892	1791	214
893	1793	212
894	1795	210
895	1798	208
896	1801	206
897	1803	204
898	1805	202
899	1807	200
900	1809	198
901	1811	196
902	1813	194
903	1815	192
904	1816	190
905	1818	188
906	1819	186
907	1821	184
908	1824	182
909	1826	180
910	1828	178
911	1830	176
912	1833	174
913	1834	172
914	1836	170
915	1839	168
916	1841	166
917	1843	164
918	1845	162
919	1846	160
920	1849	158
921	1851	156
922	1853	154
923	1855	152
924	1857	150
925	1859	148
926	1862	146
927	1864	144
928	1866	142
929	1868	140
930	1870	138
931	1872	136
932	1874	134
933	1876	132
934	1879	130
935	1881	128
936	1885	126
937	1887	124
938	1889	122
939	1891	120
940	1893	118
941	1896	116
942	1898	114
943	1900	112
944	1902	110
945	1904	108
946	1905	106
947	1907	104
948	1910	102
949	1913	100
950	1914	98
951	1916	96
952	1918	94
953	1921	92
954	1923	90
955	1925	88
956	1927	86
957	1928	84
958	1930	82
959	1932	80
960	1934	78
961	1936	76
962	1939	74
963	1942	72
964	1944	70
965	1946	68
966	1948	66
967	1951	64
968	1953	62
969	1955	60
970	1957	58
971	1959	56
972	1961	54
973	1963	52
974	1965	50
975	1967	48
976	1969	46
977	1972	44
978	1974	42
979	1976	40
980	1978	38
981	1979	36
982	1981	34
983	1983	32
984	1985	30
985	1988	28
986	1990	26
987	1991	24
988	1992	22
989	1994	20
990	1995	18
991	1997	16
992	2000	14
993	2001	12
994	2002	10
995	2004	8
996	2006	6
997	2008	4
998	2010	2
999	2012	0
